dates,flows
1997-05-08 07:30:00,0.023720943530092593
1997-05-09 07:30:00,0.02333476179398148
1997-05-10 07:30:00,0.022953486168981484
1997-05-11 07:30:00,0.022577115405092593
1997-05-12 07:30:00,0.02220564349537037
1997-05-13 07:30:00,0.021847413391203704
1997-05-14 07:30:00,0.02154021542824074
1997-05-15 07:30:00,0.021242443622685184
1997-05-16 07:30:00,0.020948925937499998
1997-05-17 07:30:00,0.020658983194444445
1997-05-18 07:30:00,0.020372493344907407
1997-05-19 07:30:00,0.5381944444444444
1997-05-20 07:30:00,0.2337962962962963
1997-05-21 07:30:00,0.3576388888888889
1997-05-22 07:30:00,0.14930555555555555
1997-05-23 07:30:00,0.07761670913194443
1997-05-24 07:30:00,0.07283058047453704
1997-05-25 07:30:00,1.1516203703703705
